Index, Time, t(seconds), T1,T2,T3,T4,T5,T6,T7,T8,Tenv,Tavg,Tmin,Tmax,Trange,Tsigma,,difference-in-temp
27, 2024/5/3 14:04:54,26.09,17.59,18.38,38.26,1.136,--,--,--,--,23.36,24.65,17.59,38.26,20.67,9.565087,,
28, 2024/5/3 14:04:55,27.09,17.53,18.37,38.54,1.2,--,--,--,--,23.35,24.72,17.53,38.54,21.01,9.714068,,
29, 2024/5/3 14:04:56,28.09,17.53,18.38,38.82,1.232,--,--,--,--,23.36,24.8,17.53,38.82,21.29,9.844324,,
30, 2024/5/3 14:04:57,29.09,17.56,18.36,39.13,1.28,--,--,--,--,23.36,24.9,17.56,39.13,21.57,9.987822,,
31, 2024/5/3 14:04:58,30.09,17.53,18.35,39.39,1.328,--,--,--,--,23.36,24.97,17.53,39.39,21.86,10.12013,,
32, 2024/5/3 14:04:59,31.09,17.55,18.58,39.68,1.376,--,--,--,--,23.36,25.12,17.55,39.68,22.13,10.20264,,
33, 2024/5/3 14:05:00,32.09,17.54,19.15,39.97,1.44,--,--,--,--,23.37,25.35,17.54,39.97,22.43,10.22338,,
34, 2024/5/3 14:05:01,33.1,17.54,19.5,40.25,1.464,--,--,--,--,23.36,25.52,17.54,40.25,22.71,10.28682,,
35, 2024/5/3 14:05:02,34.1,17.54,19.74,40.55,1.528,--,--,--,--,23.38,25.67,17.54,40.55,23.01,10.38185,,
36, 2024/5/3 14:05:03,35.1,17.5,19.88,40.79,1.552,--,--,--,--,23.36,25.76,17.5,40.79,23.29,10.47978,,
37, 2024/5/3 14:05:04,36.1,17.51,19.98,41.08,1.584,--,--,--,--,23.36,25.87,17.51,41.08,23.57,10.59604,,
38, 2024/5/3 14:05:05,37.1,17.54,20,41.37,1.64,--,--,--,--,23.37,25.98,17.54,41.37,23.83,10.7211,,
39, 2024/5/3 14:05:06,38.1,17.5,20,41.6,1.68,--,--,--,--,23.36,26.04,17.5,41.6,24.1,10.84015,,
40, 2024/5/3 14:05:07,39.11,17.53,19.9,41.82,1.72,--,--,--,--,23.36,26.09,17.53,41.82,24.29,10.95479,,
41, 2024/5/3 14:05:08,40.12,17.53,19.9,42.08,1.784,--,--,--,--,23.37,26.17,17.53,42.08,24.55,11.07686,,
42, 2024/5/3 14:05:09,41.14,17.54,19.87,42.28,1.792,--,--,--,--,23.37,26.22,17.54,42.28,24.74,11.17542,,
43, 2024/5/3 14:05:10,42.15,17.53,19.7,42.52,1.848,--,--,--,--,23.36,26.25,17.53,42.52,24.99,11.32334,,
44, 2024/5/3 14:05:11,43.16,17.52,19.5,42.8,1.888,--,--,--,--,23.36,26.28,17.52,42.8,25.28,11.49749,,
45, 2024/5/3 14:05:12,44.18,17.54,19.43,43.02,1.928,--,--,--,--,23.35,26.34,17.54,43.02,25.48,11.6102,,
46, 2024/5/3 14:05:13,45.2,17.54,19.53,43.26,1.968,--,--,--,--,23.36,26.43,17.54,43.26,25.72,11.70401,,
47, 2024/5/3 14:05:14,46.21,17.53,19.54,43.47,2.048,--,--,--,--,23.36,26.51,17.53,43.47,25.94,11.8023,,
48, 2024/5/3 14:05:15,47.23,17.52,19.51,43.68,2.072,--,--,--,--,23.36,26.56,17.52,43.68,26.16,11.91049,,
49, 2024/5/3 14:05:16,48.24,17.54,19.51,43.87,2.104,--,--,--,--,23.36,26.62,17.54,43.87,26.33,11.99532,,
50, 2024/5/3 14:05:17,49.26,17.52,19.51,44.09,2.16,--,--,--,--,23.37,26.69,17.52,44.09,26.57,12.10377,,
51, 2024/5/3 14:05:18,50.28,17.56,19.57,44.28,2.2,--,--,--,--,23.36,26.78,17.56,44.28,26.72,12.17142,,
52, 2024/5/3 14:05:19,51.31,17.52,19.64,44.48,2.24,--,--,--,--,23.37,26.85,17.52,44.48,26.96,12.26216,,
53, 2024/5/3 14:05:20,52.32,17.55,19.75,44.71,2.28,--,--,--,--,23.37,26.95,17.55,44.71,27.16,12.34184,,
54, 2024/5/3 14:05:21,53.34,17.55,19.85,44.9,2.336,--,--,--,--,23.37,27.04,17.55,44.9,27.35,12.4114,,
55, 2024/5/3 14:05:22,54.35,17.52,19.84,45.16,2.376,--,--,--,--,23.36,27.11,17.52,45.16,27.64,12.5441,,
56, 2024/5/3 14:05:23,55.37,17.51,19.87,45.34,2.44,--,--,--,--,23.36,27.18,17.51,45.34,27.83,12.62467,,
57, 2024/5/3 14:05:24,56.38,17.55,20.03,45.58,2.44,--,--,--,--,23.37,27.29,17.55,45.58,28.03,12.69894,,
58, 2024/5/3 14:05:25,57.4,17.57,21.07,45.74,2.52,--,--,--,--,23.37,27.62,17.57,45.74,28.17,12.5775,,
59, 2024/5/3 14:05:26,58.42,17.56,21.78,45.87,2.56,--,--,--,--,23.36,27.84,17.56,45.87,28.31,12.52162,,
60, 2024/5/3 14:05:27,59.44,17.6,22.28,46.06,2.592,--,--,--,--,23.38,28.03,17.6,46.06,28.46,12.52133,,
61, 2024/5/3 14:05:28,60.45,17.6,22.5,46.24,2.632,--,--,--,--,23.38,28.14,17.6,46.24,28.64,12.57192,,
62, 2024/5/3 14:05:29,61.47,17.61,22.71,46.4,2.672,--,--,--,--,23.38,28.25,17.61,46.4,28.79,12.61223,,
63, 2024/5/3 14:05:30,62.49,17.6,22.78,46.6,2.728,--,--,--,--,23.37,28.33,17.6,46.6,29,12.69709,,
64, 2024/5/3 14:05:31,63.51,17.61,22.87,46.78,2.792,--,--,--,--,23.38,28.42,17.61,46.78,29.17,12.76333,,
65, 2024/5/3 14:05:32,64.52,17.58,23.13,46.95,2.8,--,--,--,--,23.38,28.53,17.58,46.95,29.37,12.8157,,
66, 2024/5/3 14:05:33,65.53,17.57,23.35,47.09,2.872,--,--,--,--,23.38,28.64,17.57,47.09,29.52,12.85021,,
67, 2024/5/3 14:05:34,66.53,17.59,23.42,47.29,2.888,--,--,--,--,23.37,28.71,17.59,47.29,29.7,12.92956,,
68, 2024/5/3 14:05:35,67.53,17.58,23.51,47.46,2.944,--,--,--,--,23.38,28.79,17.58,47.46,29.88,12.99769,,
69, 2024/5/3 14:05:36,68.53,17.57,23.51,47.66,3.008,--,--,--,--,23.38,28.86,17.57,47.66,30.09,13.09188,,
70, 2024/5/3 14:05:37,69.54,17.61,23.44,47.8,3.064,--,--,--,--,23.37,28.91,17.61,47.8,30.19,13.15323,,
71, 2024/5/3 14:05:38,70.54,17.6,23.38,47.92,3.104,--,--,--,--,23.38,28.93,17.6,47.92,30.32,13.21922,,
72, 2024/5/3 14:05:39,71.54,17.59,23.4,48.09,3.128,--,--,--,--,23.38,28.98,17.59,48.09,30.5,13.29909,,
73, 2024/5/3 14:05:41,72.54,17.59,23.37,48.25,3.152,--,--,--,--,23.38,29.02,17.59,48.25,30.66,13.37834,,
74, 2024/5/3 14:05:42,73.54,17.62,23.36,48.42,3.2,--,--,--,--,23.38,29.09,17.62,48.42,30.8,13.44947,,
75, 2024/5/3 14:05:43,74.56,17.63,23.35,48.57,3.272,--,--,--,--,23.38,29.15,17.63,48.57,30.94,13.51519,,
76, 2024/5/3 14:05:44,75.58,17.62,23.34,48.7,3.288,--,--,--,--,23.38,29.18,17.62,48.7,31.08,13.5807,,
77, 2024/5/3 14:05:45,76.59,17.65,23.28,48.87,3.336,--,--,--,--,23.38,29.23,17.65,48.87,31.22,13.65922,,
78, 2024/5/3 14:05:46,77.61,17.63,23.26,49.04,3.36,--,--,--,--,23.38,29.27,17.63,49.04,31.41,13.74772,,
79, 2024/5/3 14:05:47,78.62,17.62,23.22,49.19,3.424,--,--,--,--,23.38,29.31,17.62,49.19,31.57,13.82421,,
80, 2024/5/3 14:05:48,79.63,17.6,23.19,49.32,3.464,--,--,--,--,23.38,29.35,17.6,49.32,31.72,13.89407,,
81, 2024/5/3 14:05:49,80.64,17.63,23.17,49.45,3.512,--,--,--,--,23.38,29.4,17.63,49.45,31.82,13.94792,,
82, 2024/5/3 14:05:50,81.66,17.6,23.15,49.6,3.536,--,--,--,--,23.38,29.43,17.6,49.6,32,14.02974,,
83, 2024/5/3 14:05:51,82.67,17.64,23.13,49.76,3.632,--,--,--,--,23.38,29.5,17.64,49.76,32.12,14.09237,,
84, 2024/5/3 14:05:52,83.69,17.65,23.07,49.9,3.672,--,--,--,--,23.39,29.54,17.65,49.9,32.25,14.16337,,
85, 2024/5/3 14:05:53,84.71,17.61,22.38,50.06,3.688,--,--,--,--,23.38,29.4,17.61,50.06,32.45,14.359,,
86, 2024/5/3 14:05:54,85.72,17.62,21.7,50.2,3.728,--,--,--,--,23.39,29.28,17.62,50.2,32.58,14.53594,,
87, 2024/5/3 14:05:55,86.73,17.64,21.23,50.35,3.768,--,--,--,--,23.4,29.22,17.64,50.35,32.71,14.68421,,
88, 2024/5/3 14:05:56,87.75,17.64,21,50.5,3.808,--,--,--,--,23.39,29.21,17.64,50.5,32.86,14.79655,,
89, 2024/5/3 14:05:57,88.76,17.65,20.77,50.65,3.88,--,--,--,--,23.39,29.22,17.65,50.65,33,14.9059,,
90, 2024/5/3 14:05:58,89.78,17.63,20.57,50.8,3.88,--,--,--,--,23.39,29.2,17.63,50.8,33.17,15.02098,,
91, 2024/5/3 14:05:59,90.8,17.61,20.37,50.93,3.96,--,--,--,--,23.39,29.2,17.61,50.93,33.32,15.124,,
92, 2024/5/3 14:06:00,91.81,17.61,20.22,51.11,4.016,--,--,--,--,23.39,29.23,17.61,51.11,33.5,15.23758,,
93, 2024/5/3 14:06:01,92.82,17.59,20.08,51.22,4.024,--,--,--,--,23.39,29.22,17.59,51.22,33.63,15.32274,,
94, 2024/5/3 14:06:02,93.83,17.63,19.98,51.37,4.072,--,--,--,--,23.39,29.25,17.63,51.37,33.74,15.40281,,
95, 2024/5/3 14:06:03,94.84,17.59,19.92,51.53,4.104,--,--,--,--,23.39,29.28,17.59,51.53,33.94,15.50045,,
96, 2024/5/3 14:06:04,95.86,17.59,19.87,51.63,4.192,--,--,--,--,23.39,29.32,17.59,51.63,34.04,15.55561,,
97, 2024/5/3 14:06:05,96.88,17.61,19.77,51.79,4.24,--,--,--,--,23.4,29.35,17.61,51.79,34.18,15.64597,,
98, 2024/5/3 14:06:06,97.89,17.61,19.74,51.9,4.28,--,--,--,--,23.39,29.39,17.61,51.9,34.29,15.70351,,
99, 2024/5/3 14:06:07,98.9,17.63,19.67,52.01,4.328,--,--,--,--,23.38,29.42,17.63,52.01,34.38,15.76409,,
100, 2024/5/3 14:06:08,99.92,17.6,19.59,52.15,4.376,--,--,--,--,23.39,29.44,17.6,52.15,34.55,15.85363,,
101, 2024/5/3 14:06:09,100.94,17.58,19.52,52.31,4.408,--,--,--,--,23.39,29.47,17.58,52.31,34.73,15.94867,,
102, 2024/5/3 14:06:10,101.95,17.57,19.46,52.46,4.44,--,--,--,--,23.39,29.5,17.57,52.46,34.89,16.03442,,
103, 2024/5/3 14:06:11,102.97,17.59,19.38,52.61,4.488,--,--,--,--,23.39,29.53,17.59,52.61,35.02,16.11659,,
104, 2024/5/3 14:06:12,103.98,17.6,19.34,52.75,4.56,--,--,--,--,23.4,29.58,17.6,52.75,35.15,16.18755,,
105, 2024/5/3 14:06:13,105,17.6,19.28,52.88,4.584,--,--,--,--,23.39,29.61,17.6,52.88,35.28,16.26167,,
106, 2024/5/3 14:06:14,106.02,17.62,19.43,53,4.608,--,--,--,--,23.4,29.69,17.62,53,35.38,16.28178,,
107, 2024/5/3 14:06:15,107.04,17.76,19.75,53.16,4.68,--,--,--,--,23.4,29.87,17.76,53.16,35.4,16.25481,,
108, 2024/5/3 14:06:16,108.05,17.81,19.88,53.29,4.704,--,--,--,--,23.4,29.95,17.81,53.29,35.48,16.27695,,
109, 2024/5/3 14:06:17,109.07,17.8,19.86,53.41,4.776,--,--,--,--,23.4,30,17.8,53.41,35.61,16.33887,,
110, 2024/5/3 14:06:18,110.09,17.74,19.82,53.55,4.808,--,--,--,--,23.4,30.02,17.74,53.55,35.81,16.42807,,
111, 2024/5/3 14:06:19,111.1,17.76,19.74,53.66,4.832,--,--,--,--,23.4,30.04,17.76,53.66,35.9,16.49158,,
112, 2024/5/3 14:06:20,112.11,17.74,19.65,53.81,4.904,--,--,--,--,23.4,30.07,17.74,53.81,36.07,16.58506,,
113, 2024/5/3 14:06:21,113.1,17.68,19.38,53.94,4.952,--,--,--,--,23.39,30.03,17.68,53.94,36.26,16.71769,,
114, 2024/5/3 14:06:22,114.11,17.69,19.29,54.1,5.016,--,--,--,--,23.4,30.07,17.69,54.1,36.41,16.80926,,
115, 2024/5/3 14:06:23,115.11,17.67,19.24,54.23,5.032,--,--,--,--,23.4,30.09,17.67,54.23,36.56,16.88647,,
116, 2024/5/3 14:06:24,116.11,17.69,19.11,54.31,5.064,--,--,--,--,23.4,30.1,17.69,54.31,36.62,16.94699,,
117, 2024/5/3 14:06:25,117.11,17.68,19.03,54.47,5.12,--,--,--,--,23.4,30.13,17.68,54.47,36.79,17.04183,,
118, 2024/5/3 14:06:26,118.11,17.66,18.99,54.62,5.168,--,--,--,--,23.4,30.17,17.66,54.62,36.96,17.12589,,
119, 2024/5/3 14:06:27,119.11,17.65,19.07,54.76,5.208,--,--,--,--,23.41,30.23,17.65,54.76,37.11,17.17684,,
120, 2024/5/3 14:06:28,120.12,17.64,19.18,54.88,5.264,--,--,--,--,23.4,30.31,17.64,54.88,37.24,17.21157,,
121, 2024/5/3 14:06:29,121.12,17.65,19.17,55,5.288,--,--,--,--,23.4,30.34,17.65,55,37.35,17.26793,,
122, 2024/5/3 14:06:30,122.12,17.61,19.18,55.13,5.328,--,--,--,--,23.4,30.38,17.61,55.13,37.52,17.3367,,
123, 2024/5/3 14:06:31,123.12,17.62,19.12,55.27,5.36,--,--,--,--,23.4,30.41,17.62,55.27,37.65,17.41322,,
124, 2024/5/3 14:06:32,124.12,17.56,19,55.39,5.424,--,--,--,--,23.4,30.42,17.56,55.39,37.83,17.50987,,
125, 2024/5/3 14:06:33,125.12,17.61,18.88,55.51,5.504,--,--,--,--,23.4,30.46,17.61,55.51,37.9,17.57964,,
126, 2024/5/3 14:06:34,126.12,17.59,18.82,55.63,5.512,--,--,--,--,23.4,30.47,17.59,55.63,38.04,17.65458,,
127, 2024/5/3 14:06:35,127.12,17.6,18.73,55.76,5.584,--,--,--,--,23.4,30.5,17.6,55.76,38.16,17.73271,,
128, 2024/5/3 14:06:36,128.13,17.61,18.69,55.89,5.608,--,--,--,--,23.41,30.54,17.61,55.89,38.28,17.80054,,
129, 2024/5/3 14:06:37,129.13,17.59,18.71,56.04,5.648,--,--,--,--,23.41,30.59,17.59,56.04,38.45,17.87163,,
130, 2024/5/3 14:06:38,130.13,17.61,18.6,56.21,5.744,--,--,--,--,23.41,30.64,17.61,56.21,38.6,17.9707,,
131, 2024/5/3 14:06:39,131.13,17.61,18.6,56.3,5.72,--,--,--,--,23.4,30.65,17.61,56.3,38.69,18.0137,,
132, 2024/5/3 14:06:40,132.13,17.59,18.57,56.43,5.776,--,--,--,--,23.41,30.69,17.59,56.43,38.84,18.08621,,
133, 2024/5/3 14:06:41,133.13,17.59,18.56,56.54,5.848,--,--,--,--,23.41,30.74,17.59,56.54,38.95,18.13978,,
134, 2024/5/3 14:06:42,134.14,17.61,18.57,56.65,5.904,--,--,--,--,23.41,30.79,17.61,56.65,39.04,18.18425,,
135, 2024/5/3 14:06:43,135.14,17.6,18.58,56.85,5.928,--,--,--,--,23.42,30.85,17.6,56.85,39.25,18.279,,
136, 2024/5/3 14:06:44,136.14,17.58,18.58,56.96,5.992,--,--,--,--,23.41,30.89,17.58,56.96,39.38,18.33529,,
137, 2024/5/3 14:06:45,137.14,17.58,18.65,57.1,6.032,--,--,--,--,23.42,30.95,17.58,57.1,39.52,18.3856,,
138, 2024/5/3 14:06:46,138.14,17.59,18.56,57.23,6.056,--,--,--,--,23.41,30.97,17.59,57.23,39.64,18.46467,,
139, 2024/5/3 14:06:47,139.14,17.56,18.53,57.39,6.12,--,--,--,--,23.41,31.02,17.56,57.39,39.83,18.55383,,
140, 2024/5/3 14:06:48,140.14,17.59,18.54,57.48,6.128,--,--,--,--,23.42,31.05,17.59,57.48,39.89,18.5869,,
141, 2024/5/3 14:06:49,141.15,17.59,18.53,57.64,6.2,--,--,--,--,23.43,31.11,17.59,57.64,40.05,18.66426,,
142, 2024/5/3 14:06:50,142.15,17.55,18.52,57.75,6.232,--,--,--,--,23.4,31.14,17.55,57.75,40.2,18.72799,,
143, 2024/5/3 14:06:51,143.15,17.57,18.49,57.86,6.28,--,--,--,--,23.41,31.18,17.57,57.86,40.29,18.78158,,
144, 2024/5/3 14:06:52,144.15,17.56,18.51,57.97,6.344,--,--,--,--,23.41,31.23,17.56,57.97,40.41,18.83104,,
145, 2024/5/3 14:06:53,145.15,17.55,18.48,58.02,6.376,--,--,--,--,23.42,31.24,17.55,58.02,40.47,18.86364,,
146, 2024/5/3 14:06:54,146.15,17.53,18.51,56.3,6.352,--,--,--,--,23.41,30.81,17.53,56.3,38.77,18.04987,,
147, 2024/5/3 14:06:55,147.15,17.54,18.53,54.56,6.336,--,--,--,--,23.41,30.37,17.54,54.56,37.02,17.22586,,
148, 2024/5/3 14:06:56,148.15,17.53,18.52,53.26,6.32,--,--,--,--,23.42,30.04,17.53,53.26,35.73,16.62346,,
149, 2024/5/3 14:06:57,149.15,17.57,18.53,52.15,6.328,--,--,--,--,23.42,29.78,17.57,52.15,34.58,16.09563,,
150, 2024/5/3 14:06:58,150.16,17.57,18.56,51.3,6.328,--,--,--,--,23.42,29.57,17.57,51.3,33.73,15.69556,,
151, 2024/5/3 14:06:59,151.16,17.56,18.55,50.57,6.336,--,--,--,--,23.42,29.39,17.56,50.57,33.01,15.36455,,
152, 2024/5/3 14:07:00,152.16,17.56,18.58,50,6.328,--,--,--,--,23.42,29.25,17.56,50,32.44,15.09556,,
153, 2024/5/3 14:07:01,153.16,17.51,18.55,49.44,6.376,--,--,--,--,23.42,29.1,17.51,49.44,31.93,14.86183,,
154, 2024/5/3 14:07:02,154.16,17.55,18.56,48.99,6.352,--,--,--,--,23.42,29,17.55,48.99,31.44,14.64275,,
155, 2024/5/3 14:07:03,155.17,17.54,18.49,48.58,6.376,--,--,--,--,23.42,28.88,17.54,48.58,31.04,14.47709,,
156, 2024/5/3 14:07:04,156.17,17.53,18.41,48.2,6.368,--,--,--,--,23.42,28.76,17.53,48.2,30.67,14.3263,,
157, 2024/5/3 14:07:05,157.17,17.55,18.37,47.9,6.336,--,--,--,--,23.42,28.67,17.55,47.9,30.35,14.19311,,
158, 2024/5/3 14:07:06,158.17,17.55,18.39,47.6,6.344,--,--,--,--,23.43,28.6,17.55,47.6,30.05,14.05346,,
159, 2024/5/3 14:07:07,159.17,17.49,18.38,47.29,6.352,--,--,--,--,23.42,28.51,17.49,47.29,29.8,13.93273,,
160, 2024/5/3 14:07:08,160.17,17.53,18.43,47.07,6.368,--,--,--,--,23.42,28.48,17.53,47.07,29.54,13.81243,,
161, 2024/5/3 14:07:09,161.17,17.54,18.5,46.82,6.384,--,--,--,--,23.43,28.45,17.54,46.82,29.28,13.68196,,
162, 2024/5/3 14:07:10,162.17,17.52,18.48,46.63,6.352,--,--,--,--,23.42,28.38,17.52,46.63,29.11,13.60468,,
163, 2024/5/3 14:07:11,163.18,17.54,18.58,46.43,6.344,--,--,--,--,23.43,28.36,17.54,46.43,28.89,13.48512,,
164, 2024/5/3 14:07:12,164.18,17.5,18.59,46.25,6.312,--,--,--,--,23.42,28.29,17.5,46.25,28.75,13.41053,,
165, 2024/5/3 14:07:13,165.18,17.56,18.55,46.09,6.328,--,--,--,--,23.43,28.26,17.56,46.09,28.53,13.33405,,
166, 2024/5/3 14:07:14,166.18,17.56,18.56,45.93,6.328,--,--,--,--,23.43,28.23,17.56,45.93,28.37,13.26037,,
167, 2024/5/3 14:07:15,167.18,17.57,18.59,45.79,6.32,--,--,--,--,23.43,28.2,17.57,45.79,28.22,13.18745,,
168, 2024/5/3 14:07:16,168.18,17.56,18.57,45.66,6.304,--,--,--,--,23.43,28.15,17.56,45.66,28.1,13.13587,,
169, 2024/5/3 14:07:17,169.18,17.56,18.51,45.54,6.28,--,--,--,--,23.43,28.1,17.56,45.54,27.98,13.09516,,
170, 2024/5/3 14:07:18,170.18,17.53,18.41,45.39,6.304,--,--,--,--,23.43,28.04,17.53,45.39,27.86,13.06328,,
171, 2024/5/3 14:07:19,171.19,17.51,18.35,45.28,6.272,--,--,--,--,23.42,27.98,17.51,45.28,27.77,13.03186,,
172, 2024/5/3 14:07:20,172.19,17.56,18.27,45.13,6.272,--,--,--,--,23.42,27.94,17.56,45.13,27.57,12.97196,,
173, 2024/5/3 14:07:21,173.19,17.51,18.26,45.04,6.28,--,--,--,--,23.43,27.9,17.51,45.04,27.53,12.94879,,
174, 2024/5/3 14:07:22,174.19,17.56,18.25,44.91,6.272,--,--,--,--,23.44,27.88,17.56,44.91,27.35,12.87983,,
175, 2024/5/3 14:07:23,175.19,17.54,18.23,44.78,6.296,--,--,--,--,23.43,27.84,17.54,44.78,27.24,12.83519,,
176, 2024/5/3 14:07:24,176.19,17.54,18.23,44.66,6.264,--,--,--,--,23.43,27.8,17.54,44.66,27.12,12.77932,,
177, 2024/5/3 14:07:25,177.19,17.55,18.27,44.55,6.272,--,--,--,--,23.43,27.79,17.55,44.55,27,12.71909,,
178, 2024/5/3 14:07:26,178.2,17.57,18.33,44.47,6.264,--,--,--,--,23.43,27.79,17.57,44.47,26.9,12.66284,,
179, 2024/5/3 14:07:27,179.2,17.53,18.31,44.38,6.248,--,--,--,--,23.42,27.74,17.53,44.38,26.85,12.63749,,
180, 2024/5/3 14:07:28,180.2,17.55,18.24,44.32,6.248,--,--,--,--,23.43,27.72,17.55,44.32,26.77,12.62326,,
181, 2024/5/3 14:07:29,181.2,17.55,18.2,44.2,6.264,--,--,--,--,23.43,27.68,17.55,44.2,26.65,12.58234,,
182, 2024/5/3 14:07:30,182.2,17.56,18.18,44.16,6.256,--,--,--,--,23.43,27.67,17.56,44.16,26.6,12.56636,,
183, 2024/5/3 14:07:31,183.2,17.55,18.15,44.08,6.28,--,--,--,--,23.43,27.64,17.55,44.08,26.53,12.54411,,
184, 2024/5/3 14:07:32,184.2,17.52,18.19,44.04,6.208,--,--,--,--,23.44,27.61,17.52,44.04,26.52,12.51716,,
185, 2024/5/3 14:07:33,185.2,17.57,18.18,43.95,6.256,--,--,--,--,23.44,27.62,17.57,43.95,26.38,12.4719,,
186, 2024/5/3 14:07:34,186.21,17.56,18.2,43.91,6.232,--,--,--,--,23.44,27.6,17.56,43.91,26.35,12.44956,,
187, 2024/5/3 14:07:35,187.21,17.53,18.24,43.85,6.232,--,--,--,--,23.44,27.59,17.53,43.85,26.32,12.4214,,
188, 2024/5/3 14:07:36,188.21,17.53,18.25,43.79,6.232,--,--,--,--,23.44,27.58,17.53,43.79,26.26,12.39271,,
189, 2024/5/3 14:07:37,189.21,17.55,18.33,43.7,6.24,--,--,--,--,23.44,27.58,17.55,43.7,26.15,12.32887,,
190, 2024/5/3 14:07:38,190.21,17.5,18.3,43.67,6.248,--,--,--,--,23.44,27.56,17.5,43.67,26.17,12.33774,,
191, 2024/5/3 14:07:39,191.21,17.53,18.29,43.6,6.216,--,--,--,--,23.44,27.53,17.53,43.6,26.07,12.29817,,
192, 2024/5/3 14:07:40,192.21,17.53,18.38,43.56,6.216,--,--,--,--,23.44,27.55,17.53,43.56,26.03,12.25826,,
193, 2024/5/3 14:07:41,193.22,17.54,18.5,43.48,6.232,--,--,--,--,23.43,27.56,17.54,43.48,25.94,12.19261,,
194, 2024/5/3 14:07:42,194.22,17.53,18.66,43.42,6.224,--,--,--,--,23.44,27.58,17.53,43.42,25.89,12.12895,,
195, 2024/5/3 14:07:43,195.22,17.55,18.69,43.38,6.208,--,--,--,--,23.45,27.58,17.55,43.38,25.83,12.09693,,
